Word,Freq,CD
abrasive,453,261
absorbent,49,27
account,1,1
aching,493,220
acidic,656,261
acrid,407,141
adhesive,46,29
administration,1,1
air,14,7
alcoholic,211,77
alive,11034,790
amateur,543,251
amber,139,93
angular,1380,421
answer,4,3
antiseptic,365,212
area,4,4
aromatic,737,395
astringent,21,19
audible,1082,436
baby,2,2
back,431,41
balance,1,1
balmy,423,191
barbecued,37,21
base,1,1
beautiful,29939,5864
beery,47,43
beginning,2,1
beige,936,479
bent,2,2
big,169610,16497
bitter,6698,1633
black,118654,12516
blame,2,2
bland,1013,551
blonde,1750,484
bloody,5005,1889
blotchy,19,15
blue,35746,5735
blunt,2014,643
body,6,6
boiling,862,174
bone,3,2
booming,84,64
border,1,1
boss,1,1
bouncy,263,173
brackish,264,87
branching,346,184
break,3,3
breakable,58,39
breezy,462,301
brief,13418,2658
bright,22178,3387
brilliant,7905,2630
briny,155,90
bristly,214,121
brittle,1093,516
broad,16886,3030
broken,11469,2457
brown,16700,2561
bubbling,263,149
bulky,1234,610
bullet,2,2
bumpy,770,317
burning,3017,1026
business,11,8
buttery,100,60
buzzing,439,192
call,4,3
camp,1,1
capacity,3,2
caramelised,1,1
caramelized,60,23
career,1,1
cash,5,5
cast,383,5
cause,2,2
center,2,2
century,9,9
chain,2,2
chair,1,1
charred,16,16
chart,1,1
checkered,13,11
cheesy,506,390
chequered,1,1
chewy,304,163
chilly,1675,648
chubby,673,292
circular,280,187
citrusy,7,7
city,4,4
claim,2,2
clammy,310,138
clamorous,101,88
clean,15510,2567
clear,44448,3986
close,26695,1387
cloudy,1101,383
cloying,197,139
coarse,1882,644
cold,21648,2509
colorful,5194,2423
colossal,913,586
compact,708,320
condition,2,2
conical,368,190
construction,1,1
contact,2,2
content,2060,237
contoured,270,157
contract,1,1
cool,10765,2805
cost,19,8
crackling,2,2
craggy,481,257
crashing,300,118
creaking,322,178
creamy,2128,918
creased,149,96
crime,2,2
crimson,115,79
crinkled,1,1
crisis,2,1
crisp,995,293
crooked,1728,694
crowded,3763,1235
cup,3,3
curly,1582,291
curved,1791,777
customer,1,1
cut,9,9
cute,3311,1005
damp,3227,923
dance,1,1
dank,484,281
dappled,245,114
dark,10529,1644
dazzling,1602,898
dead,33082,3731
deafening,539,241
deal,3,3
death,4,4
deck,1,1
deep,25738,3579
defeat,1,1
delicious,3468,1495
democracy,3,3
depression,1,1
desk,1,1
development,1,1
die,1,1
dim,2835,755
direction,3,3
dirty,8314,1825
disease,8,6
doctor,2,1
down,409,33
downy,25,18
drab,162,99
dry,16858,2936
dull,3313,1279
dust,3,3
dusty,4108,1732
duty,3,2
earthy,769,412
east,12,8
echoing,197,145
education,1,1
effect,2,2
eggy,20,19
elastic,181,102
elegant,5798,2468
emergency,2,2
empty,17387,3445
enormous,16305,4261
enthusiasm,1,1
equipment,1,1
exchange,1,1
extreme,10564,2808
eye,4,4
fact,4,4
factor,1,1
faint,4720,1447
fair,16381,1979
falling,13,12
farm,1,1
fat,2354,773
fatty,575,58
fear,5,5
feel,18,17
feet,1,1
fell,3,3
felt,11,11
fetid,22,16
feverish,575,333
file,2,2
filthy,1572,779
find,8,8
fine,29099,5053
firm,1590,538
fishy,303,141
flaky,384,194
flat,4548,1238
flavorsome,6,6
fleshy,631,353
flexible,5112,1580
flickering,701,258
floppy,961,257
floral,2140,791
flowery,416,230
fluffy,958,451
foamy,28,22
foggy,655,294
food,10,10
foot,17,17
forked,19,6
fortune,1,1
fragrant,1309,618
freezing,2207,664
fresh,35736,4883
frosty,669,384
fruity,432,227
function,1,1
fuzzy,1994,867
garlicky,133,98
giant,2023,1139
gigantic,2181,1526
glamorous,1696,791
gleaming,1751,901
glistening,445,347
glittery,273,220
globular,705,110
glossy,1781,701
glowing,1456,708
god,10,9
gold,25,9
gooey,352,242
gorgeous,2927,1404
grade,3,1
grainy,585,276
granular,302,142
grass,2,2
grassy,1480,461
gray,13355,2718
greasy,1390,662
green,19979,4000
grey,1147,536
grinding,32,30
gritty,1061,622
