Word,Freq,CD
absorbent,7,4
academy,10632,1678
account,13815,1427
addition,4950,342
adhesive,91,48
administration,41847,5108
admission,5547,637
advantage,19651,776
advice,15744,1113
aim,5058,284
air,81420,6325
alcoholic,173,49
amateur,164,71
amber,507,239
amount,40830,1069
anger,8088,1163
answer,22655,1084
appeal,7767,691
area,68400,6838
arrangement,5248,769
aspect,11722,340
astringent,5,5
atom,1223,334
attempt,17032,352
aunt,3812,1090
azure,295,150
babbling,1,1
baby,35719,5523
back,41000,1914
background,15247,2008
balance,14726,1260
band,17270,3233
banging,6,6
bank,27183,3632
base,24598,2722
bath,2920,559
bear,7168,2091
beauty,15201,2092
beginning,20282,931
beige,3,1
belt,6606,1495
bent,1,1
biscuity,3,3
bitter,1,1
black,86,23
blame,2701,282
blanket,4338,879
blonde,1,1
blotchy,3,3
blue,206,91
body,77695,7749
boiling,1,1
bone,10512,1902
booming,36,17
border,14632,1749
bore,365,156
boss,6526,1551
break,16885,1494
breath,12002,1503
brief,38,21
broad,4,1
bronze,3839,1165
brown,16,5
brunette,421,174
builder,1500,551
bullet,5412,1139
burning,13,3
business,97658,7231
buttery,5,5
buzzing,1,1
call,20754,1592
camp,13918,2247
capacity,15288,1057
career,30399,3653
cash,15157,1769
cast,7,6
cause,17987,1169
cellar,1212,364
center,80646,7157
century,6,6
chain,10727,1662
chair,19679,2158
chart,3647,768
chocolatey,1,1
circular,63,46
city,111227,12749
claim,9766,795
clean,3,1
close,11,8
cold,979,237
collection,25129,2661
comedy,6446,1419
compact,216,100
competition,18074,1876
concept,19974,1491
condition,16468,1545
confidence,14966,1124
consequence,4576,282
construction,22334,2268
contact,13229,1186
content,7296,492
contract,15647,1926
cool,9,6
cope,3,2
core,15887,2761
cost,31282,1496
cotton,7534,1569
council,27596,3935
cousin,5419,1799
craft,5473,1427
creaking,34,8
crime,24216,2206
crimson,103,57
crisis,19634,2114
crisp,205,122
crying,505,183
cup,37025,3466
cure,2366,305
curiosity,3301,558
curve,3698,621
customer,9240,1796
cut,4030,521
damp,3,3
dance,10593,1639
dark,1278,318
deal,26238,1828
death,56443,3748
deck,6588,1366
deep,10,6
defeat,3163,337
delight,2197,306
democracy,14087,1607
department,60597,5754
depression,9021,1484
desk,12002,1431
development,64016,4279
device,9728,1606
die,3,3
direction,17887,1160
dirty,1,1
disease,24260,2485
dispute,5220,574
distance,18938,1791
distinction,7451,571
dive,1037,348
doctor,23861,3220
down,501,232
downy,1,1
drab,16,12
drama,7761,1377
dream,14294,2086
dry,2,2
dust,10256,1684
duty,9881,1176
ease,4074,372
east,6,5
echoing,3,1
economy,34214,2994
edge,26310,1622
education,80679,5919
effect,40843,2368
effort,37627,1816
elastic,61,27
emergency,16578,2479
emotion,4108,789
empty,4,2
engagement,5491,709
enormous,1,1
enthusiasm,5308,603
entrance,7610,883
equipment,18364,2481
estate,15355,2116
estimate,3643,362
exchange,16279,1747
excitement,5690,743
expansion,9867,1022
extreme,4,2
eye,28975,2579
fact,81823,4206
factor,19823,1789
factory,8247,1779
failure,17631,1109
fair,46,29
falling,1,1
farm,17011,2749
fat,2197,445
fatty,7,7
fear,20572,1399
feel,3,3
feet,2,2
fell,41,23
felt,1,1
fence,5787,940
fetid,2,2
file,7102,1198
finance,3819,728
find,1,1
fine,2,2
finish,3106,442
firm,9605,1235
flat,872,173
foamy,2,2
fog,3429,921
food,74924,6061
foot,21714,2898
form,39661,1865
formation,7050,702
fortune,5428,1060
freezing,6,1
friend,39826,5420
function,12922,1082
gamy,48,39
gesture,4625,676
giant,1427,501
giggling,1,1
glass,28498,3459
gleaming,2,1
glowing,1,1
god,3255,839
gold,8062,1506
grace,4729,561
grade,8226,1147
grass,10483,1910
gray,32,10
green,1491,251
grey,5,3
grinding,112,21
grotesque,23,15
guilt,4924,794
gun,23184,2899
hard,12,9
harm,3658,334
harmony,3207,606
hat,8917,1560
hate,2252,384
health,116954,5344
heaven,4536,829
heavy,8,2
hell,17735,1378
help,19092,1469
hen,869,396
herby,12,12
hide,2,2
high,196,76
hold,6688,530
hole,14233,1704
hollow,437,109
honey,3661,1068
hot,3,3
hour,1,1
household,10375,2019
humming,3,3
hurt,4,3
ideal,10,4
imagination,5258,946
impression,9109,505
incident,8307,1193
income,24568,2099
increase,16998,725
independence,9581,1191
influence,18269,975
information,102022,5065
instance,2713,344
intention,6616,303
interior,2872,416
invention,2776,432
investigation,18565,1645
itchy,8,6
item,8164,1344
job,77591,4429
junior,12,7
khaki,2,2
kid,18717,2826
kind,120100,862
kingdom,3137,532
knowledge,40519,2440
lady,13351,2672
landscape,11247,1858
large,1,1
laughter,6121,1476
lead,13930,2038
leathery,1,1
left,552,38
leg,12989,2043
level,40544,1217
liberty,6195,1367
library,12812,2328
life,168534,9207
lift,2216,522
light,21081,2237
liquid,1398,376
little,8,8
load,4729,795
long,13,11
look,38747,1644
loop,2847,826
loose,3,3
loud,1,1
low,17,8
machine,13239,2340
magic,2130,345
main,2,2
majority,34350,1788
management,35163,4007
march,2437,336
mass,6207,598
master,13352,2863
mate,2256,677
matter,37728,2124
measure,15085,1572
meeting,20267,1423
metal,18444,4728
method,17140,1605
mild,9,3
minute,5,5
miss,6,5
missile,7442,1079
moaning,35,5
moment,52213,3303
money,117227,5710
mouth,22465,2496
mumbling,2,1
muscle,9333,1436
music,76944,6914
myth,4634,730
night,8,8
nose,12374,1722
note,10689,1250
nutty,3,3
object,10617,1412
open,10,8
opening,6317,541
opportunity,35744,1315
opposition,16812,1599
orange,2747,216
orangey,2,2
origin,5151,511
oval,240,96
owner,16724,2482
paint,6432,1254
paper,40232,5146
past,4386,702
pat,602,101
peachy,2,1
permission,6795,295
philosophy,9828,1115
phone,47120,2710
picture,30585,2332
piece,37319,1588
pink,29,7
plain,941,276
plan,36700,2981
plane,17603,2260
plastic,22162,4313
platform,6520,1310
plug,1287,283
poet,5221,1519
poetry,6903,1277
portion,11889,424
pound,4205,933
powder,4926,1048
preparation,9161,835
president,123100,8483
pressure,35466,2917
pride,7119,631
primary,955,213
prince,5758,1345
prize,5756,758
problem,80108,3636
production,31100,3133
promotion,4630,674
proof,7769,651
property,22935,2213
proportion,6794,350
provision,6106,635
public,16162,941
pupil,1348,490
purple,28,10
purpose,20378,898
quality,38883,4029
quantity,3050,380
quarrel,579,101
question,78086,3156
quick,2,2
race,27897,2764
raspy,14,10
recall,2,2
recognition,11693,965
red,1385,482
reduction,10761,946
reflection,7195,730
refrigerator,3394,640
relation,5498,323
rent,2580,503
republic,7898,1484
requirement,5300,486
resistance,11724,1361
rifle,5155,1064
rise,12762,479
rock,22106,3821
role,68964,2403
roof,9226,1512
rough,2,2
round,4867,247
route,8270,1315
rush,4696,370
safety,28399,3385
satisfaction,8307,809
sauce,7570,1276
savory,17,12
school,179774,10587
scratchy,10,7
screaming,5,4
sea,22738,3100
searing,35,24
second,2,2
seed,6000,1385
selection,11719,1139
sergeant,2673,976
shell,4882,1242
shirt,10307,1293
shock,8602,1050
sight,12652,949
silver,2764,709
sister,18857,3975
site,32312,3202
situation,38362,2369
skirt,3348,687
slavery,3400,583
slick,344,133
soap,3640,576
socialist,4,2
sodden,6,4
solid,15,5
solution,13880,1321
sound,27231,2063
spirit,18776,2647
spite,320,95
spotted,1,1
square,2933,532
squealing,1,1
statement,20502,1914
stay,6,5
steep,3,3
stop,5836,870
straight,6,6
strain,3523,419
strange,1,1
stranger,2165,674
strength,18979,1345
strong,1,1
student,57703,6993
substitute,223,83
success,32732,2081
supper,2302,492
supply,10173,1088
suspicion,3709,405
sweet,9,3
symbol,7512,625
talent,9277,1200
tarry,41,39
tart,284,102
taste,9637,814
tax,48654,2794
team,72950,7013
tendency,8034,339
tender,1,1
text,15120,2349
theme,11744,1152
theory,25561,2189
three,21,6
throw,1453,276
title,15465,1766
tool,10693,1299
tough,3,2
track,15983,1831
tractor,1653,555
treat,1114,296
trend,10715,1077
trial,22570,2246
trim,327,105
trust,7646,961
turn,16543,2323
type,36821,2221
ugly,1,1
under,14,7
unit,16936,2835
vacuum,3408,729
value,37288,2810
variety,28392,785
vice,221,68
view,40745,2653
volume,10236,1499
vote,14101,1229
wage,4599,769
wailing,1,1
wait,4,4
want,9,8
warm,6,3
waste,6717,744
weather,15251,2179
welcome,208,68
welfare,16171,1732
west,3,3
wheel,7208,1551
whining,2,2
whistling,243,116
white,141,40
wide,1,1
win,1528,52
window,27559,2665
work,114241,6498
worker,10202,2357
writing,8997,1440
wrong,29,14
yellow,262,36
zero,879,261
